,a_user_id,b_user_id
3839,23,2750
3844,23,2753
3845,23,2753
3848,23,1045
3849,23,1045
3852,23,1045
3853,23,1045
3856,4,23
3858,4,23
3861,23,1228
3865,23,1045
3866,23,1045
3869,23,2727
3871,23,2727
3874,23,136
3878,4,23
3880,4,23
3883,23,1228
3887,23,2782
3889,23,2782
3892,23,2748
3896,23,2727
3898,23,2727
3901,23,136
3905,4,23
3907,4,23
3910,23,1228
3914,23,2727
3915,23,2727
3918,23,2727
3919,23,2727
3922,23,1003
3923,23,1003
3926,23,2753
3927,23,2753
3930,23,2753
3931,23,2753
3934,23,2727
3936,23,2727
3939,23,136
3943,23,1003
3944,23,1003
3947,23,2727
3949,23,2727
3952,23,136
3956,23,2753
3957,23,2753
3960,23,2727
3962,23,2727
3965,23,136
3970,23,38
3971,23,38
3982,23,2707
3983,23,2707
3986,23,1045
3988,23,1045
3991,23,2748
3996,23,2712
3998,23,2712
4005,23,1045
4006,23,1045
4009,23,1228
4011,23,1228
4014,23,2750
4018,23,1003
4019,23,1003
4022,4,23
4024,4,23
4027,23,1228
4031,23,2882
4032,23,2882
4035,23,2885
4036,23,2885
4039,22,23
4041,22,23
4044,23,1228
4048,22,23
4050,22,23
4053,23,1228
4057,23,2707
4058,23,2707
4061,23,2705
4063,23,2705
4066,23,2707
4070,23,2739
4071,23,2739
4074,23,2739
4075,23,2739
4078,23,38
4079,23,38
4090,23,38
4091,23,38
4094,23,38
4095,23,38
4098,23,38
4099,23,38
4102,23,38
4103,23,38
4106,23,91
4107,23,91
4110,23,2727
4112,23,2727
4115,23,136
4119,23,2727
4121,23,2727
4124,23,136
4128,23,2727
4130,23,2727
4133,23,136
4137,23,2727
4139,23,2727
4142,23,136
4146,23,2727
4148,23,2727
4151,23,136
4155,23,2727
4157,23,2727
4160,23,136
4164,23,2727
4166,23,2727
4169,23,136
4179,23,1344
4180,23,1344
4183,23,903
4184,23,903
4187,23,903
4188,23,903
4191,23,38
4192,23,38
4195,23,2739
4196,23,2739
4199,22,23
4202,22,23
4206,23,2706
4210,23,2718
4215,23,2718
4218,23,2718
4222,23,2710
4226,23,648
4231,22,23
4233,22,23
4236,23,2710
4240,23,903
4241,23,903
4244,23,903
4245,23,903
4248,23,980
4249,23,980
4252,23,1003
4253,23,1003
4256,23,1003
4257,23,1003
4260,23,1003
4261,23,1003
4264,23,1045
4266,23,1045
4269,23,2755
4273,23,1045
4274,23,1045
4277,23,2707
4279,23,2707
4282,23,1045
4286,23,1045
4287,23,1045
4290,23,1045
4291,23,1045
4294,23,1045
4295,23,1045
4298,23,1045
4299,23,1045
4302,23,1045
4303,23,1045
4306,23,1045
4307,23,1045
4310,23,1045
4312,23,1045
4315,23,2748
4319,23,1045
4320,23,1045
4323,22,23
4325,22,23
4328,23,1228
4332,22,23
4334,22,23
4337,23,1228
4341,23,1228
4343,23,1228
4346,23,2750
4350,23,1228
4352,23,1228
4355,23,2750
4359,23,1228
4362,23,1228
4366,23,2705
4370,23,2750
4375,22,23
4378,22,23
4382,23,2705
4386,23,2706
4391,23,1228
4393,23,1228
4396,23,2750
4400,4,23
4402,4,23
4405,23,1228
4409,23,1228
4411,23,1228
4414,23,2750
4418,23,1228
4420,23,1228
4423,23,2750
4427,23,1228
4429,23,1228
4432,23,2750
4436,23,1228
4438,23,1228
4441,23,2750
4445,4,23
4447,4,23
4450,23,1228
4454,4,23
4456,4,23
4459,23,1228
4463,4,23
4465,4,23
4468,23,1228
4472,4,23
4474,4,23
4477,23,1228
4481,23,1228
4483,23,1228
4486,23,2750
4490,4,23
4492,4,23
4495,23,1228
4499,23,1344
4500,23,1344
4503,23,2519
4504,23,2519
4507,23,91
4508,23,91
4511,23,91
4512,23,91
4515,20,23
4517,20,23
4520,23,2519
4524,23,2519
4525,23,2519
4528,23,2705
4530,23,2705
4533,23,2752
4537,23,2705
4539,23,2705
4542,23,2752
4546,23,2705
4548,23,2705
4551,23,2713
4555,23,2705
4558,23,2705
4562,23,2752
4566,23,2751
4571,23,2705
4573,23,2705
4576,23,2752
4580,23,2705
4582,23,2705
4585,23,2750
4589,23,2705
4591,23,2705
4594,23,2752
4598,23,2705
4600,23,2705
4603,23,2752
4607,22,23
4610,22,23
4614,23,2705
4618,23,2707
4623,22,23
4625,22,23
4628,23,1228
4632,22,23
4634,22,23
4637,23,1228
4641,22,23
4644,22,23
4648,23,2705
4652,23,2706
4657,22,23
4660,22,23
4664,23,2707
4668,23,2729
4673,22,23
4676,22,23
4680,23,2705
4684,23,2707
4689,22,23
4692,22,23
4696,23,2705
4700,23,2707
4705,22,23
4708,22,23
4712,23,2705
4716,23,2707
4721,22,23
4723,22,23
4726,23,2705
4730,22,23
4733,22,23
4737,23,2707
4741,23,2729
4746,22,23
4749,22,23
4753,23,2705
4757,23,2706
4762,22,23
4764,22,23
4767,23,2705
4771,23,2705
4773,23,2705
4776,23,2707
4780,22,23
4783,22,23
4787,23,2705
4791,23,2707
4796,22,23
4798,22,23
4801,23,2705
4805,23,1228
4808,23,1228
4812,23,2705
4816,23,2750
4821,22,23
4824,22,23
4828,23,2705
4832,23,2706
4837,22,23
4840,22,23
4844,23,2705
4848,23,2706
4853,22,23
4856,22,23
4860,23,2706
4864,23,2718
4869,23,2718
4872,23,2718
4876,23,2710
4880,23,648
4885,22,23
4888,22,23
4892,23,2705
4896,23,2707
4901,22,23
4904,22,23
4908,23,2705
4912,23,2706
4917,22,23
4920,22,23
4924,23,2705
4928,23,2707
4933,22,23
4936,22,23
4940,23,2705
4944,23,2707
4949,22,23
4952,22,23
4956,23,2705
4960,23,2706
4965,22,23
4967,22,23
4970,23,2706
4974,22,23
4977,22,23
4981,23,2705
4985,23,2706
4990,22,23
4993,22,23
4997,23,2705
5001,23,2706
5006,22,23
5009,22,23
5013,23,2705
5017,23,2707
5022,23,2707
5023,23,2707
5026,22,23
5029,22,23
5033,23,2707
5037,23,2729
5042,22,23
5045,22,23
5049,23,2705
5053,23,2707
5058,22,23
5061,22,23
5065,23,2705
5069,23,2707
5074,22,23
5077,22,23
5081,23,2705
5085,23,2707
5090,22,23
5093,22,23
5097,23,2707
5101,23,2729
5106,23,2705
5108,23,2705
5111,23,2707
5115,22,23
5118,22,23
5122,23,2705
5126,23,2707
5131,23,2707
5132,23,2707
5135,23,2707
5137,23,2707
5140,23,1045
5144,23,2707
5145,23,2707
5148,22,23
5151,22,23
5155,23,2706
5159,23,2718
5164,23,2718
5167,23,2718
5171,23,2710
5175,23,648
5180,22,23
5182,22,23
5185,23,2710
5189,23,2712
5191,23,2712
5198,23,2712
5200,23,2712
5207,22,23
5210,22,23
5214,23,2706
5218,23,2718
5223,23,2718
5226,23,2718
5230,23,2710
5234,23,648
5239,23,2721
5240,23,2721
5243,23,2721
5244,23,2721
5247,23,2745
5250,23,2745
5254,23,2726
5263,23,2731
5265,23,2731
5268,23,2727
5272,23,2727
5274,23,2727
5277,23,136
5281,23,2727
5283,23,2727
5286,23,136
5290,23,2727
5292,23,2727
5295,23,136
5299,23,2727
5300,23,2727
5303,23,2727
5304,23,2727
5307,23,2727
5309,23,2727
5312,23,136
5316,23,2727
5318,23,2727
5321,23,136
5325,23,2727
5327,23,2727
5330,23,136
5334,23,2727
5336,23,2727
5339,23,136
5343,23,2707
5344,23,2707
5347,22,23
5350,22,23
5354,23,2707
5358,23,2729
5363,22,23
5366,22,23
5370,23,2707
5374,23,2729
5379,23,2727
5380,23,2727
5383,23,2731
5385,23,2731
5388,23,2727
5392,23,2751
5393,23,2751
5396,23,2751
5397,23,2751
5400,23,2739
5401,23,2739
5404,23,2745
5406,23,2745
5409,23,2726
5413,23,1228
5415,23,1228
5418,23,2750
5422,23,1228
5424,23,1228
5427,23,2750
5431,23,1228
5433,23,1228
5436,23,2750
5440,23,1228
5442,23,1228
5445,23,2750
5449,23,1228
5451,23,1228
5454,23,2750
5458,23,1045
5459,23,1045
5462,23,2782
5463,23,2782
5466,23,2782
5468,23,2782
5471,23,2748
5475,23,1045
5478,23,1045
5482,23,2753
5486,23,2748
5491,23,2748
5492,23,2748
5495,23,1228
5497,23,1228
5500,23,2750
5504,23,1228
5506,23,1228
5509,23,2750
5513,23,1228
5515,23,1228
5518,23,2750
5522,23,2750
5523,23,2750
5526,23,2705
5528,23,2705
5531,23,2750
5535,23,1228
5537,23,1228
5540,23,2750
5544,23,1228
5546,23,1228
5549,23,2750
5553,23,1228
5556,23,1228
5560,23,2705
5564,23,2750
5569,23,1228
5571,23,1228
5574,23,2750
5578,23,1228
5580,23,1228
5583,23,2750
5587,23,1228
5589,23,1228
5592,23,2750
5596,23,1228
5598,23,1228
5601,23,2750
5605,23,1228
5607,23,1228
5610,23,2750
5614,23,2705
5617,23,2705
5621,23,2752
5625,23,2751
5630,23,2751
5631,23,2751
5634,23,2751
5635,23,2751
5638,23,2705
5640,23,2705
5643,23,2752
5647,23,2705
5649,23,2705
5652,23,2752
5656,23,2752
5657,23,2752
5660,23,2751
5661,23,2751
5664,23,2705
5667,23,2705
5671,23,2752
5675,23,2751
5680,23,2705
5682,23,2705
5685,23,2752
5689,23,2705
5691,23,2705
5694,23,2752
5698,23,2705
5700,23,2705
5703,23,2752
5707,23,2751
5708,23,2751
5711,23,2753
5712,23,2753
5715,23,2753
5716,23,2753
5719,23,2753
5720,23,2753
5723,23,2753
5724,23,2753
5727,23,2753
5728,23,2753
5731,23,1228
5733,23,1228
5736,23,2750
5740,23,1045
5742,23,1045
5745,23,2755
5749,23,2758
5751,23,2758
5758,23,2758
5759,23,2758
5762,23,2882
5763,23,2882
5766,23,2782
5767,23,2782
5770,23,2782
5772,23,2782
5775,23,2748
5779,23,2707
5780,23,2707
5783,22,23
5786,22,23
5790,23,2707
5794,23,2729
5800,22,2711
5802,22,2711
5805,22,2723
5809,22,1228
5811,22,1228
5814,22,2705
5818,22,1228
5820,22,1228
5823,22,2705
5828,22,2706
5830,22,2706
5833,22,2710
5837,22,2718
5840,22,2718
5844,22,2710
5848,22,648
5854,22,2711
5856,22,2711
5859,22,2724
5863,22,2711
5865,22,2711
5868,22,2724
5872,22,2705
5875,22,2705
5879,22,2713
5883,22,2722
5888,22,2742
5890,22,2742
5893,22,2702
5897,22,2705
5900,22,2705
5904,22,2713
5908,22,2722
5913,22,2711
5915,22,2711
5918,22,2725
5922,22,2710
5923,22,2710
5926,22,2704
5927,22,2704
5930,22,2711
5932,22,2711
5935,22,2715
5939,22,2706
5940,22,2706
5943,22,2706
5944,22,2706
5948,22,1045
5949,22,1045
5952,22,2713
